,saleprice,id,lot_area,overall_qual,overall_cond,year_remod/add,exter_qual,exter_cond,bsmt_qual,bsmt_cond,total_bsmt_sf,heating_qc,central_air,gr_liv_area,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_area,misc_val,total_sf,finished_outside,lot_shape_reg,baths,pool,mo_sold,yr_sold,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD ,ms_subclass_30,ms_subclass_40,ms_subclass_45,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_75,ms_subclass_80,ms_subclass_85,ms_subclass_90,ms_subclass_120,ms_subclass_160,ms_subclass_180,ms_subclass_190,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl
10,85400,1044,1680,6,5,1971,3,3,3.0,3.0,483.0,3,1,987,2,1,3,4,7,0,264.0,0,1470.0,0,1,1.5,1,7,2008,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
11,183600,2752,7488,7,5,2005,4,3,4.0,3.0,1208.0,5,1,1208,2,1,4,6,7,0,632.0,0,2416.0,163,0,2.0,1,2,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,131000,807,26400,5,7,2007,4,3,,,0.0,5,1,2016,4,1,3,7,4,1,576.0,0,2016.0,0,1,1.0,1,6,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,200000,1177,2645,8,5,2000,4,3,4.0,3.0,960.0,5,1,1607,3,1,4,7,7,0,480.0,0,2567.0,169,1,3.5,1,12,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14,193000,1480,9627,7,5,2007,4,3,4.0,3.0,1351.0,5,1,1361,3,1,4,6,7,0,610.0,0,2712.0,50,1,2.0,1,6,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,173500,324,10114,5,5,2005,3,3,5.0,3.0,1430.0,5,1,1430,3,1,4,7,7,0,624.0,0,2860.0,0,1,2.0,1,3,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,98000,1311,4571,5,5,1950,3,3,3.0,3.0,624.0,2,0,1344,4,1,3,7,7,0,513.0,0,1968.0,96,1,1.0,1,5,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,139000,770,8816,5,6,1963,3,3,3.0,3.0,1121.0,3,1,1121,3,1,3,5,7,0,480.0,0,2242.0,80,1,2.0,1,6,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,143500,2063,8197,6,5,1977,3,3,3.0,3.0,660.0,5,1,1285,3,1,3,7,7,1,528.0,0,1945.0,138,1,1.5,1,4,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,215200,69,8640,7,5,2009,3,3,4.0,3.0,756.0,5,1,1547,3,1,4,7,7,0,614.0,0,2303.0,214,1,2.5,1,6,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,129000,2062,8724,5,5,1968,3,3,4.0,3.0,894.0,4,1,894,3,1,3,5,7,1,450.0,0,1788.0,0,1,1.0,1,5,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,278000,351,5664,8,5,2000,4,3,4.0,3.0,1501.0,5,1,1659,2,1,5,5,7,1,499.0,0,3160.0,271,0,3.0,1,10,2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,344133,2393,12867,8,5,2006,4,3,5.0,3.0,1209.0,5,1,2253,3,1,5,8,7,1,575.0,0,3462.0,385,0,2.5,1,7,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,185000,12,7980,6,7,2007,3,4,4.0,3.0,1168.0,5,1,1187,3,1,3,6,7,0,420.0,500,2355.0,504,0,3.0,1,3,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,145000,2339,34650,5,5,1955,3,3,3.0,3.0,1056.0,3,0,1056,3,1,3,5,7,0,572.0,0,2112.0,264,1,2.0,1,1,2006,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
25,187500,624,10573,6,6,1961,3,3,3.0,3.0,1453.0,5,1,1453,3,1,3,6,7,1,530.0,0,2906.0,337,0,3.0,1,4,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,138500,86,8450,5,8,2009,3,4,3.0,3.0,894.0,5,1,894,3,1,3,5,7,1,336.0,0,1788.0,560,1,2.0,1,4,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,198000,1534,11700,5,6,1995,3,3,3.0,3.0,942.0,5,1,1938,4,1,4,7,5,1,240.0,0,2880.0,40,0,2.0,1,7,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,119600,2243,8250,5,6,2006,3,4,3.0,3.0,957.0,2,0,1991,4,2,3,9,7,0,0.0,0,2948.0,133,1,2.0,1,6,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
29,122900,1957,8064,5,7,2006,3,4,3.0,3.0,672.0,5,1,924,3,1,3,6,7,1,576.0,2000,1596.0,0,1,1.0,1,7,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,278000,380,9600,8,5,1981,4,3,4.0,3.0,2524.0,3,1,2524,4,1,4,9,7,1,542.0,0,5048.0,594,1,3.5,1,7,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,230000,2860,11435,8,7,1950,3,3,4.0,3.0,792.0,2,1,1517,3,1,4,7,7,2,400.0,0,2309.0,0,0,1.0,1,6,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,270000,2517,9549,8,5,1996,4,4,4.0,4.0,1494.0,5,1,1494,2,1,5,6,7,1,481.0,0,2988.0,246,0,2.5,1,4,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
33,125000,1933,10950,6,6,1952,3,3,3.0,3.0,948.0,3,1,948,2,1,3,5,7,0,410.0,0,1896.0,48,1,1.0,1,4,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,297000,820,10637,8,5,2008,4,3,5.0,3.0,1705.0,5,1,1718,3,1,4,7,7,1,826.0,0,3423.0,252,1,3.0,1,9,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,113500,675,9000,6,6,1958,3,3,4.0,3.0,160.0,2,1,1142,2,1,3,5,7,1,384.0,0,1302.0,92,0,1.0,1,4,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,127000,2910,2665,5,6,1977,3,3,3.0,3.0,757.0,5,1,1475,4,1,3,6,7,1,336.0,0,2232.0,130,1,2.0,1,7,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
37,190000,21,11751,6,6,1977,3,3,4.0,3.0,1844.0,5,1,1844,3,1,3,7,7,1,546.0,0,3688.0,122,0,2.0,1,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,175500,1873,9600,7,6,1973,3,3,3.0,3.0,1242.0,2,1,1242,3,1,3,6,7,1,528.0,0,2484.0,0,1,1.5,1,9,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,146000,2125,8428,5,7,1994,3,4,4.0,4.0,990.0,5,1,990,3,1,3,5,7,0,384.0,0,1980.0,256,0,2.0,1,7,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,147500,1489,9937,5,6,1965,4,3,3.0,3.0,1256.0,4,1,1256,3,1,3,6,7,0,276.0,0,2512.0,804,1,2.5,1,6,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,465000,2383,13891,10,5,2006,5,3,5.0,4.0,2076.0,5,1,2076,2,1,5,7,7,1,850.0,0,4152.0,445,1,3.5,1,9,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,165500,983,9101,5,6,1978,3,4,4.0,3.0,1097.0,5,1,1110,1,1,4,4,7,1,602.0,0,2207.0,333,0,2.0,1,7,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
43,131500,1325,12150,5,5,1954,3,3,3.0,3.0,1050.0,5,0,1795,4,1,3,7,7,0,352.0,0,2845.0,0,1,2.0,1,11,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,129500,1378,11200,5,5,1965,3,3,3.0,3.0,1040.0,5,1,1040,3,1,3,5,7,0,384.0,0,2080.0,0,1,2.0,1,2,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,257076,1537,9670,8,6,1950,3,3,3.0,2.0,608.0,3,1,1873,4,1,3,9,7,2,786.0,0,2481.0,207,0,1.5,1,6,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,117000,905,10998,5,5,1960,3,3,3.0,3.0,984.0,5,1,1604,3,1,3,6,5,0,660.0,0,2588.0,68,1,2.0,1,7,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,149000,1532,7200,7,6,2000,3,2,4.0,3.0,776.0,3,1,1502,3,1,3,6,7,1,270.0,0,2278.0,112,1,1.5,1,2,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,128000,132,9920,5,5,1954,3,3,3.0,3.0,1056.0,3,1,1063,3,1,3,6,7,0,280.0,0,2119.0,164,1,2.0,1,2,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,155000,1078,2448,7,5,2004,4,3,4.0,3.0,764.0,5,1,1626,2,1,4,6,7,0,474.0,0,2390.0,27,1,2.5,1,10,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50,166000,2511,2998,6,5,2000,4,3,4.0,3.0,756.0,5,1,1524,2,1,4,4,7,0,440.0,0,2280.0,32,1,2.5,1,6,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51,135000,912,7804,4,3,1950,3,3,3.0,3.0,1122.0,3,1,1981,4,1,4,7,5,2,576.0,0,3103.0,475,1,3.0,1,12,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,250000,2351,16692,7,5,1978,3,3,4.0,3.0,1392.0,3,1,2784,5,1,4,12,7,2,564.0,2000,4176.0,1071,0,4.5,1,7,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,76000,330,1476,4,7,1970,3,3,3.0,3.0,546.0,5,1,1092,3,1,3,5,7,0,0.0,0,1638.0,226,1,1.5,1,3,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
54,155000,2586,10170,6,6,1951,3,3,3.0,3.0,216.0,3,1,1575,2,1,4,5,7,1,400.0,0,1791.0,0,1,1.5,1,6,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,158000,224,9364,6,7,1969,3,3,3.0,3.0,663.0,3,1,1352,4,1,3,7,7,0,299.0,0,2015.0,415,1,1.5,1,3,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,149500,98,2544,7,5,2005,4,3,4.0,3.0,600.0,5,1,1200,2,1,4,4,7,0,480.0,0,1800.0,172,1,3.5,1,2,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57,121000,2565,9888,5,6,1975,3,4,3.0,3.0,936.0,3,1,936,2,1,3,5,7,0,240.0,0,1872.0,160,1,1.0,1,3,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,136000,1934,7942,6,7,1953,3,3,3.0,3.0,1040.0,3,1,1040,3,1,3,6,7,0,293.0,0,2080.0,0,1,1.5,1,6,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,173000,997,15038,6,5,1996,3,3,4.0,3.0,916.0,4,1,1636,3,1,3,7,7,1,386.0,0,2552.0,252,0,2.5,1,11,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,290000,64,11764,8,7,2007,4,3,4.0,3.0,1152.0,5,1,2270,4,1,4,9,7,1,671.0,0,3422.0,189,0,2.5,1,4,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,303477,1799,9000,8,5,2007,4,3,4.0,3.0,1184.0,5,1,2610,4,1,5,11,7,1,550.0,0,3794.0,572,1,2.5,1,8,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,270000,230,20062,7,7,2001,4,4,4.0,3.0,1420.0,4,1,1483,1,1,3,4,7,2,690.0,0,2903.0,496,0,2.5,1,4,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
